-54968,25.61,25.62,1378,235
-54968,25.61,25.62,1378,235
-44202,25.61,25.62,1340,235
-44202,25.61,25.62,1340,804
-43561,25.61,25.62,1376,804
-43561,25.61,25.62,1376,509
-42811,25.61,25.62,1376,868
-42264,25.61,25.62,1326,868
-42264,25.61,25.62,1326,911
-41498,25.61,25.62,1325,911
-40560,25.61,25.62,1323,911
-40560,25.61,25.62,1323,1009
-39764,25.61,25.62,1322,1009
-39748,25.61,25.62,1322,1038
-39201,25.61,25.62,1326,1038
-39201,25.61,25.62,1326,590
-38482,25.61,25.62,1378,590
-38467,25.61,25.62,1378,370
-37748,25.61,25.62,1378,334
-36873,25.61,25.62,1378,298
-36201,25.61,25.62,1378,348
-34560,25.61,25.62,1378,133
-33935,25.62,25.62,1378,133
-33919,25.62,25.62,353,133
-33919,25.62,25.63,353,133
-33904,25.62,25.63,353,1249
-33904,25.62,25.63,353,1249
-33904,25.62,25.63,353,1249
-33216,25.62,25.63,76,1249
-33216,25.62,25.63,76,1372
-31356,25.61,25.63,76,1372
-31341,25.61,25.63,1329,1372
-31341,25.61,25.62,1329,1372
-31341,25.61,25.62,1329,73
-31341,25.61,25.62,1329,73
-31325,25.61,25.62,1329,73
-30622,25.61,25.62,1378,73
-30606,25.61,25.62,1378,139
-29794,25.61,25.62,1378,280
-29075,25.61,25.62,1378,367
-28293,25.61,25.62,1378,338
-26731,25.61,25.62,1397,338
-26731,25.61,25.62,1397,137
-25934,25.61,25.62,1397,144
-25340,25.61,25.62,1378,144
-25324,25.61,25.62,1378,359
-24355,25.61,25.62,1378,396
-23777,25.61,25.62,1378,375
-23011,25.61,25.62,1378,376
-22261,25.61,25.62,1376,376
-22261,25.61,25.62,1376,557
-21433,25.61,25.62,1378,557
-21433,25.61,25.62,1378,527
-20636,25.61,25.62,1378,382
-19394,25.61,25.62,1378,375
-18639,25.61,25.62,1378,368
-17156,25.61,25.62,1378,361
-15319,25.61,25.62,1378,362
-14893,25.61,25.62,1378,354
-14025,25.61,25.62,1378,355
-13095,25.61,25.62,1378,375
-12500,25.61,25.62,1378,368
-11239,25.61,25.62,1378,354
-10570,25.61,25.62,1397,354
-10567,25.61,25.62,1397,139
-9783,25.61,25.62,1378,139
-9780,25.61,25.62,1378,324
-8804,25.61,25.62,1378,374
-8356,25.61,25.62,1378,196
-7686,25.62,25.62,1378,196
-7684,25.62,25.62,629,196
-7682,25.62,25.63,629,196
-7679,25.62,25.63,629,1248
-7390,25.62,25.63,629,1248
-7386,25.62,25.63,629,1248
-6813,25.62,25.63,737,1248
-6810,25.62,25.63,737,1143
-6030,25.62,25.63,808,1143
-5347,25.62,25.63,802,1143
-4570,25.62,25.63,845,1143
-4567,25.62,25.63,845,1139
-3826,25.62,25.63,844,1139
-3131,25.62,25.63,837,1139
-2315,25.62,25.63,1246,1139
-2311,25.62,25.63,1246,1089
-1621,25.62,25.63,1319,1089
-1618,25.62,25.63,1319,830
-753,25.62,25.63,1319,790
-255,25.62,25.63,1509,790
-251,25.62,25.63,1509,1130
1596,25.62,25.63,725,1130
1601,25.62,25.63,725,1603
2367,25.62,25.63,1012,1603
2370,25.62,25.63,1012,2170
2529,25.62,25.63,302,2170
2532,25.62,25.63,302,2441
2721,25.62,25.63,157,2441
2724,25.62,25.63,157,2499
3501,25.62,25.63,135,2499
3504,25.62,25.63,135,1811
4555,25.62,25.63,1104,1811
4558,25.62,25.63,1104,2131
5617,25.62,25.63,1539,2131
5754,25.62,25.63,1539,2001
5909,25.62,25.63,1738,2001
5912,25.62,25.63,1738,1900
6524,25.62,25.63,2531,1900
6527,25.62,25.63,2531,1504
7303,25.62,25.63,2655,1504
7306,25.62,25.63,2655,953
7951,25.62,25.63,2653,953
7954,25.62,25.63,2653,1312
8710,25.62,25.63,2725,1312
8715,25.62,25.63,2725,441
9447,25.62,25.63,2376,441
9451,25.62,25.63,2376,788
10322,25.62,25.63,2376,729
10984,25.62,25.63,2520,729
10987,25.62,25.63,2520,788
11663,25.62,25.63,2556,788
11665,25.62,25.63,2556,441
12436,25.62,25.63,1811,441
12438,25.62,25.63,1811,435
13217,25.62,25.63,1795,435
13221,25.62,25.63,1795,356
13882,25.63,25.63,1795,356
13884,25.63,25.63,212,356
13886,25.63,25.64,212,356
13888,25.63,25.64,212,2446
13891,25.63,25.64,212,2446
13893,25.63,25.64,212,2446
14560,25.63,25.64,186,2446
14563,25.63,25.64,186,2330
15249,25.63,25.64,297,2330
16148,25.63,25.64,79,2330
16152,25.63,25.64,79,2564
16931,25.63,25.64,75,2564
16937,25.63,25.64,75,2463
17478,25.63,25.64,29,2463
17482,25.63,25.64,29,2462
18361,25.63,25.64,16,2462
18364,25.63,25.64,16,2845
19190,25.63,25.64,16,2787
19781,25.63,25.64,16,2801
20615,25.63,25.64,16,2780
21447,25.63,25.64,16,2098
22386,25.63,25.64,94,2098
23024,25.63,25.64,371,2098
23026,25.63,25.64,371,1895
23754,25.63,25.64,510,1895
23756,25.63,25.64,510,2012
24584,25.62,25.64,510,2012
24586,25.62,25.64,1767,2012
24589,25.62,25.63,1767,2012
24592,25.62,25.63,1767,827
24594,25.62,25.63,1767,827
24597,25.62,25.63,1767,827
25167,25.62,25.63,1730,827
25170,25.62,25.63,1730,965
25973,25.62,25.63,1743,965
25975,25.62,25.63,1743,944
26636,25.62,25.63,1730,944
